old_url,new_url,redirect_type,priority,backlinks_or_traffic_notes,content_owner,implementation_status,notes
/news/claiming-credit-managing-risk-and-winning-in-the-court-of-public-opinion-communication-lessons-from-the-frontline-of-government-communications,/news/claiming-credit-managing-risk-and-winning-in-the-court-of-public-opinion-communication-lessons-from-the-frontline-of-government-communications/,301,high,,,pending,news migration import
/news/combating-ceo-fraud-scams,/news/combating-ceo-fraud-scams/,301,high,,,pending,news migration import
/news/companies-house-reforms-tackle-privacy-concerns,/news/companies-house-reforms-tackle-privacy-concerns/,301,high,,,pending,news migration import
/news/david-imison-and-rod-christie-miller-recognised-in-spears-power-list-2025,/news/david-imison-and-rod-christie-miller-recognised-in-spears-power-list-2025/,301,high,,,pending,news migration import
/news/david-imison-appointed-ceo-of-schillings,/news/david-imison-appointed-ceo-of-schillings/,301,high,,,pending,news migration import
/news/deepfake-the-rising-risk-and-how-to-protect-yourself,/news/deepfake-the-rising-risk-and-how-to-protect-yourself/,301,high,,,pending,news migration import
/news/diy-due-diligence-analysing-your-digital-footprint,/news/diy-due-diligence-analysing-your-digital-footprint/,301,high,,,pending,news migration import
/news/does-free-wi-fi-come-at-a-cost-to-our-privacy,/news/does-free-wi-fi-come-at-a-cost-to-our-privacy/,301,high,,,pending,news migration import
/news/eleven-schillings-experts-recognised-in-citywealth-leaders-list-2025,/news/eleven-schillings-experts-recognised-in-citywealth-leaders-list-2025/,301,high,,,pending,news migration import
/news/facebooks-oversight-board-what-is-it-and-will-it-make-a-difference,/news/facebooks-oversight-board-what-is-it-and-will-it-make-a-difference/,301,high,,,pending,news migration import
/news/fake-news,/news/fake-news/,301,high,,,pending,news migration import
/news/family-first-how-principals-can-safeguard-their-success,/news/family-first-how-principals-can-safeguard-their-success/,301,high,,,pending,news migration import
/news/family-office-communications-strategy,/news/family-office-communications-strategy/,301,high,,,pending,news migration import
/news/five-join-schillings-partnership-in-landmark-year-of-growth,/news/five-join-schillings-partnership-in-landmark-year-of-growth/,301,high,,,pending,news migration import
/news/from-teenagers-to-trustees-managing-the-multigenerational-digital-divide,/news/from-teenagers-to-trustees-managing-the-multigenerational-digital-divide/,301,high,,,pending,news migration import
/news/gdpr-two-years-onthe-story-so-far,/news/gdpr-two-years-onthe-story-so-far/,301,high,,,pending,news migration import
/news/googles-secret-weapon-parisa-tabriz,/news/googles-secret-weapon-parisa-tabriz/,301,high,,,pending,news migration import
/news/how-can-organisations-prepare-for-a-cyberattack,/news/how-can-organisations-prepare-for-a-cyberattack/,301,high,,,pending,news migration import
/news/how-do-you-ensure-you-remain-resilient-and-pass-on-a-resilient-mindset-to-your-team,/news/how-do-you-ensure-you-remain-resilient-and-pass-on-a-resilient-mindset-to-your-team/,301,high,,,pending,news migration import
/news/how-gcs-can-protect-companies-from-geopolitical-headwinds,/news/how-gcs-can-protect-companies-from-geopolitical-headwinds/,301,high,,,pending,news migration import
/news/how-geopolitics-is-reshaping-the-luxury-sector---and-impacting-its-reputation-c848d,/news/how-geopolitics-is-reshaping-the-luxury-sector-and-impacting-its-reputation-c848d/,301,high,,,pending,news migration import
/news/how-secure-is-your-whatsapp-profile,/news/how-secure-is-your-whatsapp-profile/,301,high,,,pending,news migration import
/news/how-to-create-a-leadership-legacy,/news/how-to-create-a-leadership-legacy/,301,high,,,pending,news migration import
/news/how-to-create-an-esg-policy-that-protects-your-reputation,/news/how-to-create-an-esg-policy-that-protects-your-reputation/,301,high,,,pending,news migration import
/news/how-to-emerge-from-the-2021-agm-season-with-your-c-suites-best-foot-forward,/news/how-to-emerge-from-the-2021-agm-season-with-your-c-suites-best-foot-forward/,301,high,,,pending,news migration import
/news/how-to-inspire-and-empower-the-next-generation-through-a-leadership-legacy,/news/how-to-inspire-and-empower-the-next-generation-through-a-leadership-legacy/,301,high,,,pending,news migration import
/news/how-to-read-the-media-like-an-investigator,/news/how-to-read-the-media-like-an-investigator/,301,high,,,pending,news migration import
/news/how-to-shape-the-purpose-of-an-organisation-and-influence-and-inspire-your-team,/news/how-to-shape-the-purpose-of-an-organisation-and-influence-and-inspire-your-team/,301,high,,,pending,news migration import
/news/how-to-stay-one-step-ahead-of-litigation-threats-in-a-business-unusual-world,/news/how-to-stay-one-step-ahead-of-litigation-threats-in-a-business-unusual-world/,301,high,,,pending,news migration import
/news/how-to-use-emergency-sos-on-your-iphone,/news/how-to-use-emergency-sos-on-your-iphone/,301,high,,,pending,news migration import
/news/information-wins-why-an-integrated-approach-to-intelligence-and-forensics-is-a-smart-move-for-litigators,/news/information-wins-why-an-integrated-approach-to-intelligence-and-forensics-is-a-smart-move-for-litigators/,301,high,,,pending,news migration import
/news/inside-intelligence-and-investigations-life-as-a-graduate-analyst-at-schillings,/news/inside-intelligence-and-investigations-life-as-a-graduate-analyst-at-schillings/,301,high,,,pending,news migration import
/news/intelligence-gathering-and-case-strategy-lifting-the-lid,/news/intelligence-gathering-and-case-strategy-lifting-the-lid/,301,high,,,pending,news migration import
/news/jenny-afia-billboards-2021-top-music-lawyers,/news/jenny-afia-billboards-2021-top-music-lawyers/,301,high,,,pending,news migration import
/news/jenny-afia-billboards-top-music-lawyers-2025,/news/jenny-afia-billboards-top-music-lawyers-2025/,301,high,,,pending,news migration import
/news/jenny-afia-interviewed-by-the-lawyer-magazine-about-schillings-litigation-work,/news/jenny-afia-interviewed-by-the-lawyer-magazine-about-schillings-litigation-work/,301,high,,,pending,news migration import
/news/jenny-afia-named-as-one-of-billboards-top-music-lawyers-2023,/news/jenny-afia-named-as-one-of-billboards-top-music-lawyers-2023/,301,high,,,pending,news migration import
/news/jenny-afia-recognised-in-billboards-2022-top-music-lawyers-list,/news/jenny-afia-recognised-in-billboards-2022-top-music-lawyers-list/,301,high,,,pending,news migration import
/news/josh-leigh-digital-resilience-lead-elected-to-the-schillings-partnership,/news/josh-leigh-digital-resilience-lead-elected-to-the-schillings-partnership/,301,high,,,pending,news migration import
/news/josh-leigh-on-disinformation-ai-and-reputation-resilience,/news/josh-leigh-on-disinformation-ai-and-reputation-resilience/,301,high,,,pending,news migration import
/news/leaders-behaving-badly-business-the-news-cycle-and-managing-reputational-risk,/news/leaders-behaving-badly-business-the-news-cycle-and-managing-reputational-risk/,301,high,,,pending,news migration import
/news/leave-a-legacy,/news/leave-a-legacy/,301,high,,,pending,news migration import
/news/lets-hope-tough-new-rules-on-childrens-online-data-collection-deliver-and-give-parents-peace-of-mind,/news/lets-hope-tough-new-rules-on-childrens-online-data-collection-deliver-and-give-parents-peace-of-mind/,301,high,,,pending,news migration import
/news/life-after-the-pandemic-tips-for-managing-the-return-to-the-workplace,/news/life-after-the-pandemic-tips-for-managing-the-return-to-the-workplace/,301,high,,,pending,news migration import
/news/life-in-lockdown-tips-on-surviving-isolation-from-a-kidnap-survivor,/news/life-in-lockdown-tips-on-surviving-isolation-from-a-kidnap-survivor/,301,high,,,pending,news migration import
/news/lily-kennett-and-victoria-obyrne-published-in-step-handbook-for-advisers,/news/lily-kennett-and-victoria-obyrne-published-in-step-handbook-for-advisers/,301,high,,,pending,news migration import
/news/lily-kennett-wins-gold-at-citywealths-future-leaders-awards-2020-for-initiative-of-the-year,/news/lily-kennett-wins-gold-at-citywealths-future-leaders-awards-2020-for-initiative-of-the-year/,301,high,,,pending,news migration import
/news/management-todays-35-under-35-caroline-marshall,/news/management-todays-35-under-35-caroline-marshall/,301,high,,,pending,news migration import
/news/managing-a-confident-and-secure-return-to-office-life,/news/managing-a-confident-and-secure-return-to-office-life/,301,high,,,pending,news migration import
/news/managing-your-digital-reputation-has-more-in-common-with-your-financial-portfolio-than-you-think,/news/managing-your-digital-reputation-has-more-in-common-with-your-financial-portfolio-than-you-think/,301,high,,,pending,news migration import
/news/maud-west-the-fearless-sleuth-in-disguise,/news/maud-west-the-fearless-sleuth-in-disguise/,301,high,,,pending,news migration import
/news/no-comment-how-strategic-communication-can-strengthen-a-business-security,/news/no-comment-how-strategic-communication-can-strengthen-a-business-security/,301,high,,,pending,news migration import
/news/online-data-protection-for-adults-is-not-working-according-to-research-commissioned-by-schillings,/news/online-data-protection-for-adults-is-not-working-according-to-research-commissioned-by-schillings/,301,high,,,pending,news migration import
/news/online-file-sharing-translation-tools-privacy-at-risk,/news/online-file-sharing-translation-tools-privacy-at-risk/,301,high,,,pending,news migration import
/news/partner-adam-wilkinson-speaks-to-the-sunday-times-about-security-stalkers-and-high-profile-sports-stars,/news/partner-adam-wilkinson-speaks-to-the-sunday-times-about-security-stalkers-and-high-profile-sports-stars/,301,high,,,pending,news migration import
/news/peter-yapp-wins-outstanding-cyber-security-consultant-of-the-year,/news/peter-yapp-wins-outstanding-cyber-security-consultant-of-the-year/,301,high,,,pending,news migration import
/news/phil-hartley-promoted-to-partner,/news/phil-hartley-promoted-to-partner/,301,high,,,pending,news migration import
/news/post-pandemic-travel-risks-concerns-safety,/news/post-pandemic-travel-risks-concerns-safety/,301,high,,,pending,news migration import
/news/pr-week-hat-trick-for-schillings-communications-victoria-obyrne-and-george-pascoe-watson,/news/pr-week-hat-trick-for-schillings-communications-victoria-obyrne-and-george-pascoe-watson/,301,high,,,pending,news migration import
/news/privacy-and-video-are-you-revealing-too-much,/news/privacy-and-video-are-you-revealing-too-much/,301,high,,,pending,news migration import
/news/privacy-risks-when-investing-in-property,/news/privacy-risks-when-investing-in-property/,301,high,,,pending,news migration import
/news/protecting-success-how-to-prepare-your-family-office-for-the-next-cyber-attack,/news/protecting-success-how-to-prepare-your-family-office-for-the-next-cyber-attack/,301,high,,,pending,news migration import
/news/protecting-your-properties-whilst-on-lockdown,/news/protecting-your-properties-whilst-on-lockdown/,301,high,,,pending,news migration import
/news/rachel-atkins-and-joelle-rich-shortlisted-in-spears-wealth-management-awards-2021,/news/rachel-atkins-and-joelle-rich-shortlisted-in-spears-wealth-management-awards-2021/,301,high,,,pending,news migration import
/news/rachel-atkins-citywealths-top-private-client-litigators,/news/rachel-atkins-citywealths-top-private-client-litigators/,301,high,,,pending,news migration import
/news/rachel-atkins-recognised-in-citywealths-top-100-international-private-client-litigation-lawyers-2022,/news/rachel-atkins-recognised-in-citywealths-top-100-international-private-client-litigation-lawyers-2022/,301,high,,,pending,news migration import
/news/raising-capital-why-your-reputation-matters,/news/raising-capital-why-your-reputation-matters/,301,high,,,pending,news migration import
/news/record-number-of-schillings-partners-ranked-in-the-2024-spears-reputation-index,/news/record-number-of-schillings-partners-ranked-in-the-2024-spears-reputation-index/,301,high,,,pending,news migration import
/news/reputation-and-threat-monitoring-why-early-insight-is-key,/news/reputation-and-threat-monitoring-why-early-insight-is-key/,301,high,,,pending,news migration import
/news/reputation-extortion-and-the-gold-standard-of-critical-risk-response,/news/reputation-extortion-and-the-gold-standard-of-critical-risk-response/,301,high,,,pending,news migration import
/news/reputation-in-the-ai-era-5-steps-to-help-you-build-resilience,/news/reputation-in-the-ai-era-5-steps-to-help-you-build-resilience/,301,high,,,pending,news migration import
/news/reputation-risks-for-advisors-in-aftermath-of-a-data-leak,/news/reputation-risks-for-advisors-in-aftermath-of-a-data-leak/,301,high,,,pending,news migration import
/news/rod-christie-miller-named-in-inaugural-spears-power-list-2023,/news/rod-christie-miller-named-in-inaugural-spears-power-list-2023/,301,high,,,pending,news migration import
/news/sam-ahujas-promotion-to-partner-grows-schillings-tech-and-investment-sector-expertise,/news/sam-ahujas-promotion-to-partner-grows-schillings-tech-and-investment-sector-expertise/,301,high,,,pending,news migration import
/news/schillings-announces-pro-bono-partnership-on-two-important-international-projects,/news/schillings-announces-pro-bono-partnership-on-two-important-international-projects/,301,high,,,pending,news migration import
/news/schillings-appoints-abby-stanglin-as-intelligence-investigations-director,/news/schillings-appoints-abby-stanglin-as-intelligence-investigations-director/,301,high,,,pending,news migration import
/news/schillings-awarded-band-1-defamation-reputation-management-high-net-worth-ranking-by-chambers,/news/schillings-awarded-band-1-defamation-reputation-management-high-net-worth-ranking-by-chambers/,301,high,,,pending,news migration import
/news/schillings-awarded-band-1-ranking-for-legal-500-guide-2022,/news/schillings-awarded-band-1-ranking-for-legal-500-guide-2022/,301,high,,,pending,news migration import
/news/schillings-awarded-band-2-ranking-intelligence-investigations-chambers-2024,/news/schillings-awarded-band-2-ranking-intelligence-investigations-chambers-2024/,301,high,,,pending,news migration import
/news/schillings-awarded-band-3-investigations-ranking-by-chambers,/news/schillings-awarded-band-3-investigations-ranking-by-chambers/,301,high,,,pending,news migration import
/news/schillings-clare-locke-and-giles-george-announce-strategic-alliance,/news/schillings-clare-locke-and-giles-george-announce-strategic-alliance/,301,high,,,pending,news migration import
/news/schillings-communications-tops-pr-weeks-leading-crisis-and-reputation-advisors,/news/schillings-communications-tops-pr-weeks-leading-crisis-and-reputation-advisors/,301,high,,,pending,news migration import
/news/schillings-critical-risk-awarded-gold-citywealth-brand-management-and-reputation-awards,/news/schillings-critical-risk-awarded-gold-citywealth-brand-management-and-reputation-awards/,301,high,,,pending,news migration import
/news/schillings-dominates-spears-in-the-reputation-managers-index-2021,/news/schillings-dominates-spears-in-the-reputation-managers-index-2021/,301,high,,,pending,news migration import
/news/schillings-experts-speak-to-the-currency-on-dublin-expansion-and-reputation-landscape,/news/schillings-experts-speak-to-the-currency-on-dublin-expansion-and-reputation-landscape/,301,high,,,pending,news migration import
/news/schillings-invests-in-hush-ai-privacy-start-up,/news/schillings-invests-in-hush-ai-privacy-start-up/,301,high,,,pending,news migration import
/news/schillings-invests-in-tech-start-up-legendary,/news/schillings-invests-in-tech-start-up-legendary/,301,high,,,pending,news migration import
/news/schillings-is-top-ranked-in-chambers-defamation-reputation-management-guide-2023,/news/schillings-is-top-ranked-in-chambers-defamation-reputation-management-guide-2023/,301,high,,,pending,news migration import
/news/schillings-launches-apprenticeship-scheme-widening-access-to-legal-profession,/news/schillings-launches-apprenticeship-scheme-widening-access-to-legal-profession/,301,high,,,pending,news migration import
/news/schillings-launches-documentary-about-online-privacy,/news/schillings-launches-documentary-about-online-privacy/,301,high,,,pending,news migration import
/news/schillings-launches-dublin-office-expanding-global-reach,/news/schillings-launches-dublin-office-expanding-global-reach/,301,high,,,pending,news migration import
/news/schillings-launches-new-strategic-communications-business,/news/schillings-launches-new-strategic-communications-business/,301,high,,,pending,news migration import
/news/schillings-lead-the-way-in-business-intelligence-and-investigations,/news/schillings-lead-the-way-in-business-intelligence-and-investigations/,301,high,,,pending,news migration import
/news/schillings-leading-firm-business-intelligence-investigations-chambers-2025,/news/schillings-leading-firm-business-intelligence-investigations-chambers-2025/,301,high,,,pending,news migration import
/news/schillings-leads-the-way-in-spears-2022-reputation-management-index,/news/schillings-leads-the-way-in-spears-2022-reputation-management-index/,301,high,,,pending,news migration import
/news/schillings-moves-to-band-1-ranking-in-chambers-2022-defamation-reputation-management-high-net-worth,/news/schillings-moves-to-band-1-ranking-in-chambers-2022-defamation-reputation-management-high-net-worth/,301,high,,,pending,news migration import
/news/schillings-one-of-the-best-companies-to-work-for,/news/schillings-one-of-the-best-companies-to-work-for/,301,high,,,pending,news migration import
/news/schillings-partners-with-leading-travel-risk-management-provider-healix,/news/schillings-partners-with-leading-travel-risk-management-provider-healix/,301,high,,,pending,news migration import
/news/schillings-partners-with-online-safety-charity-swgfl,/news/schillings-partners-with-online-safety-charity-swgfl/,301,high,,,pending,news migration import
/news/schillings-partners-with-the-childrens-commisioner-to-protect-children-from-online-harms,/news/schillings-partners-with-the-childrens-commisioner-to-protect-children-from-online-harms/,301,high,,,pending,news migration import
/news/schillings-pro-bono-update-with-our-ongoing-work-for-lilongwe-wildlife-trust,/news/schillings-pro-bono-update-with-our-ongoing-work-for-lilongwe-wildlife-trust/,301,high,,,pending,news migration import
/news/schillings-promotes-two-new-partners-natasha-hibbert-adam-wilkinson,/news/schillings-promotes-two-new-partners-natasha-hibbert-adam-wilkinson/,301,high,,,pending,news migration import
/news/schillings-proudly-supports-glitchs-ripple-effect-report-on-the-impact-of-online-abuse-during-lockdown,/news/schillings-proudly-supports-glitchs-ripple-effect-report-on-the-impact-of-online-abuse-during-lockdown/,301,high,,,pending,news migration import
/news/schillings-record-number-of-partners-recognised-2025-spears-500,/news/schillings-record-number-of-partners-recognised-2025-spears-500/,301,high,,,pending,news migration import
/news/schillings-retains-band-1-ranking-in-chambers-defamation-reputation-management-guide-2022,/news/schillings-retains-band-1-ranking-in-chambers-defamation-reputation-management-guide-2022/,301,high,,,pending,news migration import
/news/schillings-retains-band-1-ranking-in-the-the-legal-500-uk-2024-guide-for-reputation-management,/news/schillings-retains-band-1-ranking-in-the-the-legal-500-uk-2024-guide-for-reputation-management/,301,high,,,pending,news migration import
/news/schillings-retains-prestigious-ranking-for-intelligence-investigations-in-chambers-2022,/news/schillings-retains-prestigious-ranking-for-intelligence-investigations-in-chambers-2022/,301,high,,,pending,news migration import
/news/schillings-retains-top-rankings-in-chambers-and-legal-500-for-2026,/news/schillings-retains-top-rankings-in-chambers-and-legal-500-for-2026/,301,high,,,pending,news migration import
/news/schillings-wins-gold-at-citywealth-magic-circle-awards,/news/schillings-wins-gold-at-citywealth-magic-circle-awards/,301,high,,,pending,news migration import
/news/seventeen-schillings-partners-recognised-in-spears-reputation-indices-2026,/news/seventeen-schillings-partners-recognised-in-spears-reputation-indices-2026/,301,high,,,pending,news migration import
/news/sextortion-recognise-the-risks,/news/sextortion-recognise-the-risks/,301,high,,,pending,news migration import
/news/sophisticated-reputation-management-for-family-businesses,/news/sophisticated-reputation-management-for-family-businesses/,301,high,,,pending,news migration import
/news/succession-planning-mitigating-managing-risks,/news/succession-planning-mitigating-managing-risks/,301,high,,,pending,news migration import
/news/the-bbc-apologises-to-sir-james-dyson,/news/the-bbc-apologises-to-sir-james-dyson/,301,high,,,pending,news migration import
/news/the-big-green-2021-risk-you-might-not-notice-until-its-too-late,/news/the-big-green-2021-risk-you-might-not-notice-until-its-too-late/,301,high,,,pending,news migration import
/news/the-digital-matrix-building-resilient-reputations-in-the-age-of-ai,/news/the-digital-matrix-building-resilient-reputations-in-the-age-of-ai/,301,high,,,pending,news migration import
/news/the-fake-news-pandemic-and-how-to-handle-it,/news/the-fake-news-pandemic-and-how-to-handle-it/,301,high,,,pending,news migration import
/news/the-fake-vaccine-scam-and-how-to-spot-it,/news/the-fake-vaccine-scam-and-how-to-spot-it/,301,high,,,pending,news migration import
/news/the-hyper-growth-of-synthetic-media-all-is-not-as-it-seems,/news/the-hyper-growth-of-synthetic-media-all-is-not-as-it-seems/,301,high,,,pending,news migration import
/news/the-reputational-risks-of-returning-to-the-office-and-how-to-manage-them,/news/the-reputational-risks-of-returning-to-the-office-and-how-to-manage-them/,301,high,,,pending,news migration import
/news/the-schillings-approach-to-asset-tracing,/news/the-schillings-approach-to-asset-tracing/,301,high,,,pending,news migration import
/news/the-schillings-approach-to-counter-extortion-operations,/news/the-schillings-approach-to-counter-extortion-operations/,301,high,,,pending,news migration import
/news/the-schillings-approach-to-countering-smear-campaigns,/news/the-schillings-approach-to-countering-smear-campaigns/,301,high,,,pending,news migration import
/news/the-schillings-approach-to-diplomacy,/news/the-schillings-approach-to-diplomacy/,301,high,,,pending,news migration import
/news/the-schillings-approach-to-protecting-reputation--privacy-and-security-across-africa,/news/the-schillings-approach-to-protecting-reputation-privacy-and-security-across-africa/,301,high,,,pending,news migration import
/news/the-schillings-approach-to-protecting-reputation--privacy-and-security-in-latin-america,/news/the-schillings-approach-to-protecting-reputation-privacy-and-security-in-latin-america/,301,high,,,pending,news migration import
/news/the-schillings-approach-to-security,/news/the-schillings-approach-to-security/,301,high,,,pending,news migration import
/news/the-schillings-approach-to-surviving-cancel-culture,/news/the-schillings-approach-to-surviving-cancel-culture/,301,high,,,pending,news migration import
/news/the-surprisingly-simple-secret-to-protecting-your-reputation,/news/the-surprisingly-simple-secret-to-protecting-your-reputation/,301,high,,,pending,news migration import
/news/the-times-lawyer-of-the-week-jenny-afia,/news/the-times-lawyer-of-the-week-jenny-afia/,301,high,,,pending,news migration import
/news/the-ultimate-social-media-privacy-guide,/news/the-ultimate-social-media-privacy-guide/,301,high,,,pending,news migration import
/news/thirteen-partners-recognised-2023-spears-reputation-index,/news/thirteen-partners-recognised-2023-spears-reputation-index/,301,high,,,pending,news migration import
/news/three-important-privacy-lessons-we-can-learn-from-the-barclay-brothers-dispute,/news/three-important-privacy-lessons-we-can-learn-from-the-barclay-brothers-dispute/,301,high,,,pending,news migration import
/news/three-part-approach-for-risk-management-planning,/news/three-part-approach-for-risk-management-planning/,301,high,,,pending,news migration import
/news/three-ways-to-apply-behavioural-science-to-crisis-planning,/news/three-ways-to-apply-behavioural-science-to-crisis-planning/,301,high,,,pending,news migration import
/news/tim-ramsey-mbe-joins-schillings-partnership,/news/tim-ramsey-mbe-joins-schillings-partnership/,301,high,,,pending,news migration import
/news/twelve-schillings-partners-featured-in-spears-500-guide-to-top-hnw-advisors,/news/twelve-schillings-partners-featured-in-spears-500-guide-to-top-hnw-advisors/,301,high,,,pending,news migration import
/news/understanding-reputation-from-your-uber-score,/news/understanding-reputation-from-your-uber-score/,301,high,,,pending,news migration import
/news/vibe-coding-and-the-next-wave-of-ai-impersonation,/news/vibe-coding-and-the-next-wave-of-ai-impersonation/,301,high,,,pending,news migration import
/news/victoria-anderson-shortlisted-for-diversity-champion-of-the-year-at-the-burberry-british-diversity-awards,/news/victoria-anderson-shortlisted-for-diversity-champion-of-the-year-at-the-burberry-british-diversity-awards/,301,high,,,pending,news migration import
/news/we-need-to-find-commercial-models-that-dont-infringe-peoples-basic-human-right-to-privacy,/news/we-need-to-find-commercial-models-that-dont-infringe-peoples-basic-human-right-to-privacy/,301,high,,,pending,news migration import
/news/what-are-fitness-apps-doing-with-our-data,/news/what-are-fitness-apps-doing-with-our-data/,301,high,,,pending,news migration import
/news/what-is-digital-forensics-and-why-is-it-essential-for-lawyers,/news/what-is-digital-forensics-and-why-is-it-essential-for-lawyers/,301,high,,,pending,news migration import
/news/why-cyberstalking-is-on-the-rise-and-how-to-stop-it,/news/why-cyberstalking-is-on-the-rise-and-how-to-stop-it/,301,high,,,pending,news migration import
/news/why-tech-start-ups-need-a-reputation-strategy,/news/why-tech-start-ups-need-a-reputation-strategy/,301,high,,,pending,news migration import
/news/why-work-in-media-law-privacy-defamation,/news/why-work-in-media-law-privacy-defamation/,301,high,,,pending,news migration import
/news/why-you-might-be-accepting-fake-news-without-realising-it,/news/why-you-might-be-accepting-fake-news-without-realising-it/,301,high,,,pending,news migration import
/news/youll-hand-email-scammers-your-money-and-smile,/news/youll-hand-email-scammers-your-money-and-smile/,301,high,,,pending,news migration import
/en-us/expertise,/us/expertise/,301,high,,,pending,Legacy en-us path → US /us/expertise/
/en-us/expertise/,/us/expertise/,301,high,,,pending,
/en-us/expertise/reputation_privacy,/us/expertise/reputation_privacy/,301,medium,,,pending,Sample hub
/en-ie/expertise,/ie/expertise/,301,high,,,pending,Legacy en-ie path → IE /ie/expertise/
/en-ie/expertise/,/ie/expertise/,301,high,,,pending,
